ID,Age,Job,Credit amount,Duration,monthly_payment,credit_duration_ratio,age_credit_ratio,high_credit_flag,long_duration_flag,young_applicant_flag,no_checking_flag,no_savings_flag,financial_instability_flag,Risk_encoded,Sex_encoded,Saving_accounts_encoded,Checking_account_encoded,Housing_own,Housing_rent,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,age_group_early_career,age_group_mid_career,age_group_senior,duration_category_medium_term,duration_category_long_term,credit_category_medium,credit_category_high
73,41,1,5954,42,141.76190476190476,138.46511627906978,145.21951219512195,1,1,0,0,0,0,0,0,1.0,2.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True
74,40,3,1977,36,54.916666666666664,53.432432432432435,49.425,0,1,0,0,0,0,1,1,,1.0,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
75,66,3,1526,12,127.16666666666667,117.38461538461539,23.12121212121212,0,0,0,0,0,0,0,1,1.0,1.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
76,34,2,3965,42,94.4047619047619,92.20930232558139,116.61764705882354,0,1,0,0,0,0,1,1,1.0,1.0,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
77,51,2,4771,11,433.72727272727275,397.5833333333333,93.54901960784314,1,0,0,0,0,0,0,1,1.0,2.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
78,39,1,9436,54,174.74074074074073,171.56363636363636,241.94871794871796,1,1,0,0,0,0,0,1,,,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True
79,22,2,3832,30,127.73333333333333,123.61290322580645,174.1818181818182,0,1,1,0,0,0,0,1,1.0,2.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
80,44,2,5943,24,247.625,237.72,135.0681818181818,1,0,0,0,0,0,1,0,,,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True
81,47,2,1213,15,80.86666666666666,75.8125,25.80851063829787,0,0,0,0,0,0,0,1,3.0,,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
82,24,1,1568,18,87.11111111111111,82.52631578947368,65.33333333333333,0,0,1,0,0,0,0,0,2.0,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
83,58,1,1755,24,73.125,70.2,30.25862068965517,0,0,0,0,0,0,0,0,1.0,1.0,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False
84,52,1,2315,10,231.5,210.45454545454547,44.51923076923077,0,0,0,0,0,0,0,1,1.0,1.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
85,29,3,1412,12,117.66666666666667,108.61538461538461,48.689655172413794,0,0,1,0,0,0,0,0,1.0,,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
86,27,2,1295,18,71.94444444444444,68.15789473684211,47.96296296296296,0,0,1,0,0,0,0,0,1.0,2.0,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
87,47,2,12612,36,350.3333333333333,340.86486486486484,268.3404255319149,1,1,0,0,0,0,1,1,2.0,2.0,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
88,30,3,2249,18,124.94444444444444,118.36842105263158,74.96666666666667,0,0,0,0,0,0,0,1,2.0,1.0,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
89,28,2,1108,12,92.33333333333333,85.23076923076923,39.57142857142857,0,0,1,0,0,0,1,1,1.0,1.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
90,56,2,618,12,51.5,47.53846153846154,11.035714285714286,0,0,0,0,0,0,0,1,1.0,,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
91,54,2,1409,12,117.41666666666667,108.38461538461539,26.09259259259259,0,0,0,0,0,0,0,1,1.0,1.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
92,33,1,797,12,66.41666666666667,61.30769230769231,24.151515151515152,0,0,0,0,0,0,1,0,,,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
93,20,2,3617,24,150.70833333333334,144.68,180.85,0,0,1,0,0,0,0,1,,3.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
94,54,2,1318,12,109.83333333333333,101.38461538461539,24.40740740740741,0,0,0,0,0,0,0,1,4.0,2.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
95,58,2,15945,54,295.27777777777777,289.90909090909093,274.91379310344826,1,1,0,0,0,0,1,1,1.0,2.0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
96,61,2,2012,12,167.66666666666666,154.76923076923077,32.98360655737705,0,0,0,0,0,0,0,0,,,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
97,34,2,2622,18,145.66666666666666,138.0,77.11764705882354,0,0,0,0,0,0,0,1,2.0,2.0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
98,36,2,2337,36,64.91666666666667,63.16216216216216,64.91666666666667,0,1,0,0,0,0,0,1,1.0,2.0,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
99,36,3,7057,20,352.85,336.04761904761904,196.02777777777777,1,0,0,0,0,0,0,1,,2.0,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True
100,41,1,1469,24,61.208333333333336,58.76,35.829268292682926,0,0,0,0,0,0,0,1,2.0,,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False
101,24,2,2323,36,64.52777777777777,62.78378378378378,96.79166666666667,0,1,1,0,0,0,0,1,1.0,2.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
102,24,2,932,6,155.33333333333334,133.14285714285714,38.833333333333336,0,0,1,0,0,0,0,0,1.0,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
103,35,2,1919,9,213.22222222222223,191.9,54.82857142857143,0,0,0,0,0,0,0,1,1.0,2.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
104,26,2,2445,12,203.75,188.07692307692307,94.03846153846153,0,0,1,0,0,0,0,1,,,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False
105,39,3,11938,24,497.4166666666667,477.52,306.1025641025641,1,0,0,0,0,0,1,1,1.0,2.0,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True
106,39,3,6458,18,358.77777777777777,339.89473684210526,165.5897435897436,1,0,0,0,0,0,1,1,1.0,,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
107,32,2,6078,12,506.5,467.53846153846155,189.9375,1,0,0,0,0,0,0,1,1.0,2.0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
108,30,2,7721,24,321.7083333333333,308.84,257.3666666666667,1,0,0,0,0,0,0,0,,1.0,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
109,35,2,1410,14,100.71428571428571,94.0,40.285714285714285,0,0,0,0,0,0,0,1,3.0,2.0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
110,31,2,1449,6,241.5,207.0,46.74193548387097,0,0,0,0,0,0,0,1,2.0,2.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
111,23,2,392,15,26.133333333333333,24.5,17.043478260869566,0,0,1,0,0,0,0,0,1.0,3.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
112,28,1,6260,18,347.77777777777777,329.4736842105263,223.57142857142858,1,0,1,0,0,0,0,1,1.0,2.0,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True
113,25,2,7855,36,218.19444444444446,212.2972972972973,314.2,1,1,1,0,0,0,1,0,1.0,,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
114,35,2,1680,12,140.0,129.23076923076923,48.0,0,0,0,0,0,0,0,1,3.0,1.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
115,47,2,3578,48,74.54166666666667,73.0204081632653,76.12765957446808,0,1,0,0,0,0,0,1,,,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
116,30,3,7174,42,170.8095238095238,166.8372093023256,239.13333333333333,1,1,0,0,0,0,1,0,,1.0,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True
117,27,2,2132,10,213.2,193.8181818181818,78.96296296296296,0,0,1,0,0,0,0,0,,1.0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False
118,23,2,4281,33,129.72727272727272,125.91176470588235,186.1304347826087,1,1,1,0,0,0,1,0,3.0,1.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
119,36,3,2366,12,197.16666666666666,182.0,65.72222222222223,0,0,0,0,0,0,0,1,3.0,2.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
120,25,2,1835,21,87.38095238095238,83.4090909090909,73.4,0,0,1,0,0,0,1,0,1.0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
121,41,3,3868,24,161.16666666666666,154.72,94.34146341463415,0,0,0,0,0,0,0,0,1.0,,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False
122,24,1,1768,12,147.33333333333334,136.0,73.66666666666667,0,0,1,0,0,0,0,1,1.0,,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
123,63,2,781,10,78.1,71.0,12.396825396825397,0,0,0,0,0,0,0,1,1.0,3.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
124,27,2,1924,18,106.88888888888889,101.26315789473684,71.25925925925925,0,0,1,0,0,0,1,0,,2.0,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
125,30,2,2121,12,176.75,163.15384615384616,70.7,0,0,0,0,0,0,0,1,1.0,1.0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
126,40,1,701,12,58.416666666666664,53.92307692307692,17.525,0,0,0,0,0,0,0,1,1.0,1.0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
127,30,2,639,12,53.25,49.15384615384615,21.3,0,0,0,0,0,0,1,1,1.0,2.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
128,34,3,1860,12,155.0,143.07692307692307,54.705882352941174,0,0,0,0,0,0,0,1,1.0,2.0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
129,29,2,3499,12,291.5833333333333,269.15384615384613,120.65517241379311,0,0,1,0,0,0,1,0,1.0,1.0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
130,24,2,8487,48,176.8125,173.20408163265307,353.625,1,1,1,0,0,0,0,0,,2.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
131,29,2,6887,36,191.30555555555554,186.13513513513513,237.48275862068965,1,1,1,0,0,0,1,1,1.0,1.0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
132,27,1,2708,15,180.53333333333333,169.25,100.29629629629629,0,0,1,0,0,0,0,1,1.0,,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
133,47,2,1984,18,110.22222222222223,104.42105263157895,42.212765957446805,0,0,0,0,0,0,0,1,1.0,,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
134,21,2,10144,60,169.06666666666666,166.29508196721312,483.04761904761904,1,1,1,0,0,0,0,0,2.0,,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True
135,38,2,1240,12,103.33333333333333,95.38461538461539,32.63157894736842,0,0,0,0,0,0,0,0,,,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
136,27,2,8613,27,319.0,307.60714285714283,319.0,1,1,1,0,0,0,0,1,4.0,,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
137,66,1,766,12,63.833333333333336,58.92307692307692,11.606060606060606,0,0,0,0,0,0,1,1,3.0,2.0,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
138,35,2,2728,15,181.86666666666667,170.5,77.94285714285714,0,0,0,0,0,0,0,1,,2.0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False
139,44,1,1881,12,156.75,144.69230769230768,42.75,0,0,0,0,0,0,0,0,1.0,3.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
140,27,0,709,6,118.16666666666667,101.28571428571429,26.25925925925926,0,0,1,0,0,0,0,1,4.0,3.0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
141,30,3,4795,36,133.19444444444446,129.59459459459458,159.83333333333334,1,1,0,0,0,0,0,0,1.0,2.0,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
142,27,3,3416,27,126.51851851851852,122.0,126.51851851851852,0,1,1,0,0,0,0,1,1.0,1.0,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False
143,22,2,2462,18,136.77777777777777,129.57894736842104,111.9090909090909,0,0,1,0,0,0,1,1,1.0,1.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
144,23,2,2288,21,108.95238095238095,104.0,99.47826086956522,0,0,1,0,0,0,0,0,1.0,,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
145,30,2,3566,48,74.29166666666667,72.77551020408163,118.86666666666666,0,1,0,0,0,0,0,1,2.0,2.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
146,39,2,860,6,143.33333333333334,122.85714285714286,22.05128205128205,0,0,0,0,0,0,0,0,1.0,1.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
147,51,2,682,12,56.833333333333336,52.46153846153846,13.372549019607844,0,0,0,0,0,0,0,0,2.0,,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
148,28,2,5371,36,149.19444444444446,145.16216216216216,191.82142857142858,1,1,1,0,0,0,0,1,1.0,1.0,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
149,46,2,1582,18,87.88888888888889,83.26315789473684,34.391304347826086,0,0,0,0,0,0,0,1,4.0,,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
150,42,2,1346,6,224.33333333333334,192.28571428571428,32.04761904761905,0,0,0,0,0,0,0,1,2.0,,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
151,38,2,1924,10,192.4,174.9090909090909,50.63157894736842,0,0,0,0,0,0,0,1,1.0,,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
152,24,2,5848,36,162.44444444444446,158.05405405405406,243.66666666666666,1,1,1,0,0,0,0,1,1.0,3.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True
153,29,2,7758,24,323.25,310.32,267.51724137931035,1,0,1,0,0,0,0,0,4.0,2.0,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True
154,36,3,6967,24,290.2916666666667,278.68,193.52777777777777,1,0,0,0,0,0,0,1,2.0,2.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True
